"","a[str_detect(a[, 1], pattern = pat_fecha), ]","fecha","precip","evap","TMAX","TMIN","Estacion"
"1","   NULO","11/06/1953",0,0,27,NA,"9007"
"2","   11.5 ","12/06/1953",0,4.5,25.5,11.5,"9007"
"3","    12 ","13/06/1953",0,6,28,12,"9007"
"4","    13.5 ","14/06/1953",0,4.5,27,13.5,"9007"
"5","   14 ","15/06/1953",0,5.1,29.5,14,"9007"
"6","    14.5 ","16/06/1953",0,4.6,28,14.5,"9007"
"7","    15.5 ","17/06/1953",1,6.2,28,15.5,"9007"
"8","    12.5 ","18/06/1953",0.8,4.5,27,12.5,"9007"
"9","   14 ","19/06/1953",40.3,6,27.5,14,"9007"
"10","    13 ","20/06/1953",0,5.4,25,13,"9007"
"11","    15 ","21/06/1953",3.1,3.3,27,15,"9007"
"12","   13.5 ","22/06/1953",0.4,4.8,27.5,13.5,"9007"
"13","    13 ","23/06/1953",0,3.7,27,13,"9007"
"14","   13.5 ","24/06/1953",0.1,3.9,25.5,13.5,"9007"
"15","    14 ","25/06/1953",0.9,6.9,27,14,"9007"
"16","    14 ","26/06/1953",3.5,5.7,27,14,"9007"
"17","    16.5 ","27/06/1953",0.9,3.9,27,16.5,"9007"
"18","    14 ","28/06/1953",0,5.9,29,14,"9007"
"19","    15 ","29/06/1953",0,5.5,27,15,"9007"
"20","    13 ","30/06/1953",0,5.7,28,13,"9007"
"21","    15 ","01/07/1953",3.5,1.7,25,15,"9007"
"22","    14.5 ","02/07/1953",0.5,3.9,25,14.5,"9007"
"23","   15 ","03/07/1953",3.5,2.8,25.5,15,"9007"
"24","    13.5 ","04/07/1953",5.6,5.4,23,13.5,"9007"
"25","   12 ","05/07/1953",3.1,2.8,23.5,12,"9007"
"26","    14 ","06/07/1953",0,3.2,23,14,"9007"
"27","    12.5 ","07/07/1953",0,3.9,26,12.5,"9007"
"28","   11.5 ","08/07/1953",0,2.6,25.5,11.5,"9007"
"29","   14 ","09/07/1953",6.5,4.3,25.5,14,"9007"
"30","    14.5 ","10/07/1953",0,2.8,23,14.5,"9007"
"31","    12 ","11/07/1953",2.4,5.1,26,12,"9007"
"32","   13 ","12/07/1953",1.3,3.2,25.5,13,"9007"
"33","    10.5 ","13/07/1953",0,3.9,22,10.5,"9007"
"34","   12.5 ","14/07/1953",0,4.1,25.5,12.5,"9007"
"35","    10.5 ","15/07/1953",2.2,4.1,26,10.5,"9007"
"36","    13 ","16/07/1953",0.3,3.2,25,13,"9007"
"37","    12.5 ","17/07/1953",0.1,4.5,27,12.5,"9007"
"38","    13 ","18/07/1953",0,4.7,26,13,"9007"
"39","   12 ","19/07/1953",0,4.8,25.5,12,"9007"
"40","    12.5 ","20/07/1953",11.6,4.3,26,12.5,"9007"
"41","    12 ","21/07/1953",4,4.5,27,12,"9007"
"42","   11 ","22/07/1953",1.1,5,26.5,11,"9007"
"43","    12.5 ","23/07/1953",2,4.7,27,12.5,"9007"
"44","   15 ","24/07/1953",2.1,5,23.5,15,"9007"
"45","    14 ","25/07/1953",2.7,4.9,26,14,"9007"
"46","    11.5 ","26/07/1953",0.5,4.3,26,11.5,"9007"
"47","    12.5 ","27/07/1953",0,5.1,26,12.5,"9007"
"48","   14 ","28/07/1953",0,4.6,25.5,14,"9007"
"49","    14.5 ","29/07/1953",2.5,4.9,26,14.5,"9007"
"50","    13 ","30/07/1953",2.6,4.6,27,13,"9007"
"51","   13.5 ","31/07/1953",3.5,5,27.5,13.5,"9007"
"52","   14.5 ","01/08/1953",1.4,3.4,26.5,14.5,"9007"
