"","a[str_detect(a[, 1], pattern = pat_fecha), ]","fecha","precip","evap","TMAX","TMIN","Estacion"
"1","ULO   NULO","17/06/1953",5.2,0,NA,NA,"9043"
"2","  0.0","18/06/1953",0.2,5.8,26.8,0,"9043"
"3","    12 ","19/06/1953",11,5.4,27,12,"9043"
"4","    14 ","20/06/1953",0,5.5,27,14,"9043"
"5","    13 ","21/06/1953",4.1,2.6,27,13,"9043"
"6","    11.5 ","22/06/1953",0,7.1,27,11.5,"9043"
"7","    9.5 ","23/06/1953",0,5.6,27,9.5,"9043"
"8","    10 ","24/06/1953",0.1,4.4,27,10,"9043"
"9","   10 ","25/06/1953",0.2,3.1,25.9,10,"9043"
"10","   13 ","26/06/1953",0.1,5.3,27.7,13,"9043"
"11","    15 ","27/06/1953",4.3,4.4,27,15,"9043"
"12","    12 ","28/06/1953",0,4.9,28,12,"9043"
"13","    14 ","29/06/1953",0,5.4,27,14,"9043"
"14","    12 ","30/06/1953",0,3.5,27,12,"9043"
"15","    14 ","01/07/1953",4.4,2.2,26,14,"9043"
"16","   13.5 ","02/07/1953",0,5.7,25.5,13.5,"9043"
"17","    14 ","03/07/1953",9,1.7,25,14,"9043"
"18","   12 ","04/07/1953",11.5,4.7,24.5,12,"9043"
"19","   10.5 ","05/07/1953",5.9,2.8,23.5,10.5,"9043"
"20","    13.5 ","06/07/1953",1.8,3,24,13.5,"9043"
"21","   11 ","07/07/1953",0,6.1,25.5,11,"9043"
"22","   9.5 ","08/07/1953",8,3.2,24.5,9.5,"9043"
"23","   13 ","09/07/1953",6.3,4.5,24.5,13,"9043"
"24","    13 ","10/07/1953",0,3.8,23,13,"9043"
"25","   10 ","11/07/1953",0,6.2,24.8,10,"9043"
"26","    11 ","12/07/1953",5.5,4,25,11,"9043"
"27","    8.5 ","13/07/1953",2.5,2.1,23,8.5,"9043"
"28","    11.5 ","14/07/1953",0.4,3.6,25,11.5,"9043"
"29","   7 ","15/07/1953",2.1,4.2,22.5,7,"9043"
"30","    10 ","16/07/1953",2,4.3,25,10,"9043"
"31","    12 ","17/07/1953",4.2,3.4,27,12,"9043"
"32","   10.5 ","18/07/1953",0,7.3,25.5,10.5,"9043"
"33","    10 ","19/07/1953",17.6,2.2,25,10,"9043"
"34","   8.5 ","20/07/1953",3.2,0.4,25.5,8.5,"9043"
"35","    10 ","21/07/1953",1.6,5,27,10,"9043"
"36","    9.5 ","22/07/1953",0.5,4.1,27,9.5,"9043"
"37","    10.5 ","23/07/1953",0,5.6,26,10.5,"9043"
"38","   13.5 ","24/07/1953",0,3.6,23.5,13.5,"9043"
"39","    13 ","25/07/1953",0.2,3.9,25,13,"9043"
"40","    9.5 ","26/07/1953",0.1,4.4,25,9.5,"9043"
"41","    9 ","27/07/1953",0,7.1,26,9,"9043"
"42","    13 ","28/07/1953",0,5.8,26,13,"9043"
"43","    11 ","29/07/1953",0.1,4.3,26,11,"9043"
"44","   10 ","30/07/1953",0,4,25.5,10,"9043"
"45","   11.5 ","31/07/1953",1.2,5.7,27.5,11.5,"9043"
"46","    12.5 ","01/08/1953",10.7,3.4,26,12.5,"9043"
"47","   12 ","02/08/1953",7.5,3.1,24.5,12,"9043"
"48","    10 ","03/08/1953",0,5.6,25,10,"9043"
"49","   9.5 ","04/08/1953",1.5,3.6,24.5,9.5,"9043"
"50","    11.5 ","05/08/1953",25.5,3.6,24,11.5,"9043"
"51","    12.5 ","06/08/1953",0,3.7,25,12.5,"9043"
"52","   11.5 ","07/08/1953",0,6.2,26.7,11.5,"9043"
"53","   12 ","08/08/1953",0.7,2.9,26.5,12,"9043"
"54","    11 ","09/08/1953",0.6,5,27,11,"9043"
"55","   9.5 ","10/08/1953",2,5.1,27.5,9.5,"9043"
"56","    9.5 ","11/08/1953",0.3,3.9,26,9.5,"9043"
"57","    10 ","12/08/1953",0,6.7,26,10,"9043"
"58","   11 ","13/08/1953",0,4.2,25.5,11,"9043"
"59","    12.5 ","14/08/1953",8,4.1,25,12.5,"9043"
"60","    10 ","15/08/1953",0,5.5,25,10,"9043"
"61","    11.5 ","16/08/1953",0,4.4,25,11.5,"9043"
"62","    9.5 ","17/08/1953",0,5.6,26,9.5,"9043"
"63","   8.5 ","18/08/1953",0.5,4.1,25.5,8.5,"9043"
"64","    11 ","19/08/1953",16,4.7,25,11,"9043"
"65","    13.5 ","20/08/1953",0,3.6,23,13.5,"9043"
"66","   13 ","21/08/1953",0.5,3,25.5,13,"9043"
"67","    12.5 ","22/08/1953",21.4,5.5,26,12.5,"9043"
"68","    13 ","23/08/1953",0,5.3,25,13,"9043"
"69","   13.5 ","24/08/1953",5.9,3.3,25.5,13.5,"9043"
"70","   14 ","25/08/1953",0,4.3,25.5,14,"9043"
"71","    12 ","26/08/1953",20.3,5.1,25,12,"9043"
"72","    10.5 ","27/08/1953",0,5.4,25,10.5,"9043"
"73","   9.5 ","28/08/1953",1.1,4.3,25.5,9.5,"9043"
"74","   13 ","29/08/1953",8.5,3,25.5,13,"9043"
"75","    11 ","30/08/1953",0,4.6,25,11,"9043"
"76","    13 ","31/08/1953",7,9.7,26,13,"9043"
"77","   14.5 ","01/09/1953",0,2,22.5,14.5,"9043"
"78","   12 ","02/09/1953",19.5,5.5,24.5,12,"9043"
"79","   10.5 ","03/09/1953",1,1.1,23.5,10.5,"9043"
"80","    10.5 ","04/09/1953",0,6,26,10.5,"9043"
"81","   10 ","05/09/1953",1.5,6.1,25.5,10,"9043"
"82","   9.5 ","06/09/1953",0,2.8,23.5,9.5,"9043"
